N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,CADILAHC,EQ,01-Jan-15,1599.7,1615.25,1616,1599.95,1612,1612,1611.4,103933,167477605.8,2655,93370,89.84
1,CADILAHC,EQ,02-Jan-15,1612,1615.9,1639.9,1615.9,1627,1627.65,1625.35,101683,165270120.7,1466,89353,87.87
2,CADILAHC,EQ,05-Jan-15,1627.65,1647.95,1710,1646.95,1696,1699.4,1688.71,233806,394830451.7,10945,142412,60.91
3,CADILAHC,EQ,06-Jan-15,1699.4,1695,1695,1648,1655,1660.2,1673.42,102994,172351709.6,6746,84569,82.11
4,CADILAHC,EQ,07-Jan-15,1660.2,1661,1670.15,1626.25,1649.5,1648.9,1649.34,34885,57537282.4,2573,21035,60.3
5,CADILAHC,EQ,08-Jan-15,1648.9,1659,1670.9,1640,1648,1647.15,1652.7,44869,74155200.4,6362,32110,71.56
6,CADILAHC,EQ,09-Jan-15,1647.15,1670,1719.9,1670,1686.1,1686.7,1697.44,144794,245778898.6,13133,82806,57.19
7,CADILAHC,EQ,12-Jan-15,1686.7,1686.7,1696.5,1646.1,1654,1652.45,1672.16,68839,115110106.2,7042,52930,76.89
8,CADILAHC,EQ,13-Jan-15,1652.45,1647,1660,1636.2,1646,1646.75,1648.06,431975,711921981.8,4651,419322,97.07
9,CADILAHC,EQ,14-Jan-15,1646.75,1652,1659,1595.9,1619.3,1611.55,1614.91,142341,229867430.2,7040,122320,85.93
10,CADILAHC,EQ,15-Jan-15,1611.55,1620.8,1651.05,1601,1609.4,1617.7,1631.17,442039,721039864.6,5023,421781,95.42
11,CADILAHC,EQ,16-Jan-15,1617.7,1619.1,1654,1619,1635,1635.2,1639.52,85887,140813704.4,7491,59884,69.72
12,CADILAHC,EQ,19-Jan-15,1635.2,1636,1655,1601,1637,1635,1638.9,749994,1229164566,10789,690042,92.01
13,CADILAHC,EQ,20-Jan-15,1635,1637.25,1670,1637.25,1658.8,1658.55,1661.38,146965,244165074.4,4134,122772,83.54
14,CADILAHC,EQ,21-Jan-15,1658.55,1651,1675.25,1641,1650,1649.65,1653.31,57377,94861951.75,4726,39463,68.78
15,CADILAHC,EQ,22-Jan-15,1649.65,1644,1665,1636.25,1642.1,1643.35,1645.34,164066,269943779.2,3567,139749,85.18
16,CADILAHC,EQ,23-Jan-15,1643.35,1665,1693.35,1645,1645.05,1647.4,1660.42,107401,178330913.7,11414,76490,71.22
17,CADILAHC,EQ,27-Jan-15,1647.4,1653,1674.8,1648.25,1651,1651.4,1655.26,71923,119051172.9,9090,54434,75.68
18,CADILAHC,EQ,28-Jan-15,1651.4,1656.95,1676.5,1655.15,1660,1659.95,1664.8,157964,262978418.2,12479,121019,76.61
19,CADILAHC,EQ,29-Jan-15,1659.95,1683.25,1685,1641,1660,1660.35,1660.8,300115,498431769.7,6116,269781,89.89
20,CADILAHC,EQ,30-Jan-15,1660.35,1670,1680,1631.1,1640,1638.35,1658.25,59694,98987697.65,7752,37951,63.58
21,CADILAHC,EQ,02-Feb-15,1638.35,1640,1655,1604.85,1610,1610.8,1630.22,281875,459518632.4,20467,182992,64.92
22,CADILAHC,EQ,03-Feb-15,1610.8,1616,1625.95,1528.1,1545,1541.75,1550.68,394038,611025559.9,14862,349155,88.61
23,CADILAHC,EQ,04-Feb-15,1541.75,1545,1560,1520,1520,1523.65,1528.66,220900,337681915.3,20207,186315,84.34
24,CADILAHC,EQ,05-Feb-15,1523.65,1520,1528.3,1425,1475,1460.45,1468.26,429193,630168407.9,20867,328611,76.56
25,CADILAHC,EQ,06-Feb-15,1460.45,1465,1485,1455,1477.95,1466.85,1473.39,192757,284006315.4,15926,130604,67.76
26,CADILAHC,EQ,09-Feb-15,1466.85,1471.9,1488,1426.1,1479.8,1475.4,1456.26,89070,129709305.5,7818,55036,61.79
27,CADILAHC,EQ,10-Feb-15,1475.4,1478,1538.9,1478,1510.05,1513.55,1519.27,191076,290296198.3,17724,66625,34.87
28,CADILAHC,EQ,11-Feb-15,1513.55,1525.85,1540,1495.35,1500.05,1504.05,1518.62,75220,114230341.8,8331,42163,56.05
29,CADILAHC,EQ,12-Feb-15,1504.05,1523,1558,1510,1545.75,1545.2,1530.59,186935,286120428.3,6044,155424,83.14
30,CADILAHC,EQ,13-Feb-15,1545.2,1567,1607.95,1553.15,1590.35,1595.65,1587.54,121120,192283322.2,13085,70627,58.31
31,CADILAHC,EQ,16-Feb-15,1595.65,1619.45,1639,1605.85,1619.2,1613.35,1619.51,88566,143433418.5,8087,56473,63.76
32,CADILAHC,EQ,18-Feb-15,1613.35,1629,1643.05,1611.1,1624.45,1622.35,1621.35,90033,145974704.7,2444,73198,81.3
33,CADILAHC,EQ,19-Feb-15,1622.35,1628,1636.35,1616.3,1634.95,1631.2,1623.19,74906,121586551.1,3317,60487,80.75
34,CADILAHC,EQ,20-Feb-15,1631.2,1637,1639.9,1597.05,1610,1603.9,1619.38,38011,61554392.15,3071,23311,61.33
35,CADILAHC,EQ,23-Feb-15,1603.9,1606,1617.8,1526.15,1540,1538.8,1564.8,40623,63566888.6,3101,27176,66.9
36,CADILAHC,EQ,24-Feb-15,1538.8,1540,1564,1536.1,1542.1,1546.8,1549.25,134251,207987953.9,7552,113987,84.91
37,CADILAHC,EQ,25-Feb-15,1546.8,1550,1551.95,1538,1540.1,1542.8,1547.14,26744,41376746.7,2973,19230,71.9
38,CADILAHC,EQ,26-Feb-15,1542.8,1542.8,1543.05,1492,1500.1,1513.05,1522.98,260893,397334326.2,7037,233446,89.48
39,CADILAHC,EQ,27-Feb-15,1513.05,1516,1551.95,1503.3,1539,1532.85,1520.58,79111,120294378.1,6741,63958,80.85
