N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,CIPLA,EQ,01-Jan-15,626.4,626.5,634.8,626.5,629.95,628.4,630.72,596787,376407400.6,9333,201185,33.71
1,CIPLA,EQ,02-Jan-15,628.4,633,637.55,629.35,631,630.15,632.96,688999,436107243,11080,332082,48.2
2,CIPLA,EQ,05-Jan-15,630.15,626,638,626,632.4,633,633.49,1282895,812698604.1,22739,689132,53.72
3,CIPLA,EQ,06-Jan-15,633,631,632,610.5,613.95,614.35,619.76,1615490,1001214102,56508,990511,61.31
4,CIPLA,EQ,07-Jan-15,614.35,614.35,617.8,604.5,616.1,611.95,611.5,813936,497722158.1,34254,371081,45.59
5,CIPLA,EQ,08-Jan-15,611.95,615,621.5,612,620,618.2,618.05,1273014,786786308.4,45414,849225,66.71
6,CIPLA,EQ,09-Jan-15,618.2,624,641.5,621,633.15,632.35,633.99,2151608,1364099104,51284,965722,44.88
7,CIPLA,EQ,12-Jan-15,632.35,630.9,637,625.95,629.7,630.75,632.16,1094136,691664436,18154,518715,47.41
8,CIPLA,EQ,13-Jan-15,630.75,631,645.3,628.2,636.95,636.4,639.12,1261489,806243504.9,50896,486711,38.58
9,CIPLA,EQ,14-Jan-15,636.4,638.8,641.85,629.05,632,631.4,633.82,1033679,655165346,36967,588972,56.98
10,CIPLA,EQ,15-Jan-15,631.4,638.9,640,632.6,637.1,638.05,637.33,1229115,783346031.7,27829,818897,66.62
11,CIPLA,EQ,16-Jan-15,638.05,641.7,650,639,649.9,647.35,645.77,1245788,804486782,43690,677312,54.37
12,CIPLA,EQ,19-Jan-15,647.35,652,661.55,649,657,657.8,657.15,1536486,1009701026,34198,780344,50.79
13,CIPLA,EQ,20-Jan-15,657.8,661.95,666.45,657.35,660,661.8,663.35,1537603,1019964335,37857,877958,57.1
14,CIPLA,EQ,21-Jan-15,661.8,663,663.85,641,641.25,643.45,645.97,1541897,996024565.5,60222,941724,61.08
15,CIPLA,EQ,22-Jan-15,643.45,643.5,657.2,641.35,654.25,654.8,651.55,1642285,1070034960,35395,798347,48.61
16,CIPLA,EQ,23-Jan-15,654.8,659.9,686.5,654.6,681.95,677.65,668.3,2255956,1507647244,44886,938412,41.6
17,CIPLA,EQ,27-Jan-15,677.65,687,710,683,706.5,707.05,697.03,2067849,1441352898,63575,829107,40.1
18,CIPLA,EQ,28-Jan-15,707.05,706.9,707,692.55,700.1,703.55,700.13,1379608,965907697.4,41761,659258,47.79
19,CIPLA,EQ,29-Jan-15,703.55,699.95,711.9,686.5,695.9,697.45,698.39,2245977,1568557661,49107,1262525,56.21
20,CIPLA,EQ,30-Jan-15,697.45,699,702.8,691.2,697,695.75,696.34,1061983,739501665.1,29171,612754,57.7
21,CIPLA,EQ,02-Feb-15,695.75,698,706.5,691.25,695,695.5,698.62,878717,613890462.6,31969,346878,39.48
22,CIPLA,EQ,03-Feb-15,695.5,695.15,699.75,672.05,677.75,677.4,687.78,772717,531458148.2,24549,258112,33.4
23,CIPLA,EQ,04-Feb-15,677.4,680.4,688,666.6,675.15,678,679.12,1326140,900605602.4,20821,675773,50.96
24,CIPLA,EQ,05-Feb-15,678,676.55,676.55,657.25,659.7,662.4,667.39,913021,609337362.8,17961,476533,52.19
25,CIPLA,EQ,06-Feb-15,662.4,672,682.7,645.65,657,655.05,670.9,1572398,1054919540,40106,546587,34.76
