N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,DRREDDY,EQ,01-Jan-15,3246.2,3230,3235,3204,3210,3210.5,3216.89,75642,243331916.9,4935,22132,29.26
1,DRREDDY,EQ,02-Jan-15,3210.5,3220,3242.65,3215,3224.9,3221.4,3227.06,86014,277571939.9,4661,35009,40.7
2,DRREDDY,EQ,05-Jan-15,3221.4,3221.4,3221.4,3141,3146,3148.4,3165.42,293765,929890990.2,27851,180060,61.29
3,DRREDDY,EQ,06-Jan-15,3148.4,3130,3130,3055,3055,3065.55,3082.25,391335,1206194165,19849,283756,72.51
4,DRREDDY,EQ,07-Jan-15,3065.55,3075.1,3078.05,3010,3040.5,3039.2,3032.24,319437,968611006,29741,191418,59.92
5,DRREDDY,EQ,08-Jan-15,3039.2,3060,3094.05,3041,3064,3066.3,3065.31,278836,854717488.3,15157,192150,68.91
6,DRREDDY,EQ,09-Jan-15,3066.3,3095,3170,3091.2,3159,3163.8,3136.4,593638,1861884183,29466,429282,72.31
7,DRREDDY,EQ,12-Jan-15,3163.8,3153,3214,3126.65,3210,3207.25,3188.22,334222,1065572010,25481,199064,59.56
8,DRREDDY,EQ,13-Jan-15,3207.25,3210,3238,3190,3223,3223.35,3222.09,490674,1580994096,33074,414809,84.54
9,DRREDDY,EQ,14-Jan-15,3223.35,3205,3223.2,3191,3220,3208.25,3210.28,331309,1063595456,37268,256882,77.54
10,DRREDDY,EQ,15-Jan-15,3208.25,3226.6,3253.95,3203.95,3240,3240.55,3227.94,443672,1432148162,27424,316748,71.39
11,DRREDDY,EQ,16-Jan-15,3240.55,3242,3295,3231.25,3257.4,3285.8,3275.9,422004,1382443647,33461,301754,71.51
12,DRREDDY,EQ,19-Jan-15,3285.8,3280,3330,3269.7,3328.9,3323.9,3312.49,248669,823714212,17425,154065,61.96
13,DRREDDY,EQ,20-Jan-15,3323.9,3342,3342,3292.35,3300,3306.2,3306.3,297710,984317202.2,17575,218874,73.52
14,DRREDDY,EQ,21-Jan-15,3306.2,3277.5,3348.9,3252,3332,3335.85,3302.56,431156,1423916847,28912,284675,66.03
15,DRREDDY,EQ,22-Jan-15,3335.85,3330.1,3365,3330.1,3360,3361.25,3354.83,245798,824610342.4,14618,170534,69.38
16,DRREDDY,EQ,23-Jan-15,3361.25,3389.75,3389.75,3335,3335,3349.6,3360.73,441479,1483691149,44232,343201,77.74
17,DRREDDY,EQ,27-Jan-15,3349.6,3324.85,3324.85,3195.35,3201,3212.4,3224.47,412304,1329463218,44691,264759,64.21
18,DRREDDY,EQ,28-Jan-15,3212.4,3220,3245,3172.1,3239.95,3239.05,3227.48,249711,805937243.6,16939,123499,49.46
19,DRREDDY,EQ,29-Jan-15,3239.05,3234,3380,3210.35,3362.1,3363.3,3313.09,1401638,4643749020,91149,686840,49
20,DRREDDY,EQ,30-Jan-15,3363.3,3370,3372.85,3201,3226.95,3233.25,3254.89,632758,2059556386,38249,392856,62.09
21,DRREDDY,EQ,02-Feb-15,3233.25,3179.75,3184,3135.1,3137,3139.1,3153.57,386253,1218074976,26914,215945,55.91
22,DRREDDY,EQ,03-Feb-15,3139.1,3102,3119,3074.9,3086.95,3087.15,3091.9,522573,1615742295,33744,376638,72.07
23,DRREDDY,EQ,04-Feb-15,3087.15,3105,3126.25,3085,3098.9,3096.9,3109.51,214845,668063218.5,18644,121613,56.6
24,DRREDDY,EQ,05-Feb-15,3096.9,3088,3095,3061.2,3074.8,3072.05,3072.98,422142,1297232614,23079,318709,75.5
25,DRREDDY,EQ,06-Feb-15,3072.05,3075,3117,3030,3049,3044.3,3074.97,244496,751818353.6,18194,119031,48.68
26,DRREDDY,EQ,09-Feb-15,3044.3,3033,3112.95,3007,3108,3099.1,3072.23,352149,1081883616,26174,222407,63.16
27,DRREDDY,EQ,10-Feb-15,3099.1,3111.05,3145.5,3075,3134,3130.5,3119.27,338985,1057385745,37019,207890,61.33
28,DRREDDY,EQ,11-Feb-15,3130.5,3140.3,3180.9,3123.95,3170,3152.4,3155,232891,734771255.9,14205,130887,56.2
29,DRREDDY,EQ,12-Feb-15,3152.4,3195,3343.15,3192.35,3343,3331.2,3282.3,457240,1500798461,25085,292931,64.07
30,DRREDDY,EQ,13-Feb-15,3331.2,3360,3369,3321,3338.9,3343.95,3342.68,211055,705489644.8,17035,88341,41.86
31,DRREDDY,EQ,16-Feb-15,3343.95,3352,3402.8,3338.15,3349.6,3351.25,3374.34,149937,505938563,10336,70484,47.01
32,DRREDDY,EQ,18-Feb-15,3351.25,3317,3376,3312.1,3350,3354.25,3341.97,209696,700797982.1,17123,123918,59.09
