N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,LUPIN,EQ,01-Jan-15,1427.95,1428.4,1435.8,1424.1,1426.05,1429.2,1430.14,119605,171051415.8,4182,46540,38.91
1,LUPIN,EQ,02-Jan-15,1429.2,1435,1442.5,1428.05,1429.6,1432.3,1434.96,247162,354667429.3,8964,116461,47.12
2,LUPIN,EQ,05-Jan-15,1432.3,1434.15,1441.65,1425.25,1429.95,1430.3,1435.67,211101,303071246.9,9266,101242,47.96
3,LUPIN,EQ,06-Jan-15,1430.3,1425,1428.95,1386.3,1392.05,1395.85,1401.4,405597,568403882.2,16220,229102,56.49
4,LUPIN,EQ,07-Jan-15,1395.85,1395.85,1401.6,1365.35,1377,1377.6,1381.72,483850,668543700.8,14507,193028,39.89
5,LUPIN,EQ,08-Jan-15,1377.6,1385,1412.85,1380,1406.7,1407.95,1399.97,340287,476392441.6,18729,155895,45.81
6,LUPIN,EQ,09-Jan-15,1407.95,1411,1425.5,1405.5,1422,1420.7,1419.35,317299,450359712.1,10740,169223,53.33
7,LUPIN,EQ,12-Jan-15,1420.7,1422.65,1435,1415.7,1432.95,1431,1425.25,218007,310714316.6,9489,101002,46.33
8,LUPIN,EQ,13-Jan-15,1431,1432.2,1451,1421,1431,1433.05,1438.79,340354,489696251.9,8751,129243,37.97
9,LUPIN,EQ,14-Jan-15,1433.05,1431,1438,1410,1423.25,1423.35,1425.2,184846,263442634.7,7418,70981,38.4
10,LUPIN,EQ,15-Jan-15,1423.35,1438,1459.5,1395.8,1434.9,1437.15,1438.32,433511,623527907.2,11765,126067,29.08
11,LUPIN,EQ,16-Jan-15,1437.15,1433,1448,1426,1428,1428.05,1433.5,236647,339232416.1,8497,95438,40.33
13,LUPIN,EQ,19-Jan-15,1428.05,1431,1467.5,1430,1465.95,1463.5,1448.16,390371,565319844.3,11212,166175,42.57
14,LUPIN,EQ,20-Jan-15,1463.5,1473.6,1479.8,1454,1476,1475.7,1469.33,370117,543824797.9,14269,184149,49.75
15,LUPIN,EQ,21-Jan-15,1475.7,1479,1488.4,1461.5,1475,1484.8,1477.96,388480,574156435.1,12017,188095,48.42
16,LUPIN,EQ,22-Jan-15,1484.8,1495,1519.75,1483,1504,1503.45,1502.19,800501,1202503002,25010,374748,46.81
17,LUPIN,EQ,23-Jan-15,1503.45,1524.45,1524.45,1470,1484,1489.45,1492.68,617287,921410910.5,35948,331741,53.74
19,LUPIN,EQ,27-Jan-15,1489.45,1489,1529.4,1475.55,1524,1524.25,1512.99,641940,971251375.5,23803,362177,56.42
20,LUPIN,EQ,28-Jan-15,1524.25,1521.9,1533.5,1501.8,1506,1515.5,1518.86,643871,977952112.3,16458,279585,43.42
21,LUPIN,EQ,29-Jan-15,1515.5,1535.7,1562.95,1521,1548.6,1554.55,1546.19,1189408,1839044823,45045,525246,44.16
22,LUPIN,EQ,30-Jan-15,1554.55,1555,1591.15,1545,1579.85,1585.3,1572.72,648933,1020588947,27527,292971,45.15
23,LUPIN,EQ,02-Feb-15,1585.3,1587,1606,1545.15,1547,1554.7,1581.63,541843,856993123.8,19622,227744,42.03
24,LUPIN,EQ,03-Feb-15,1554.7,1562.75,1577,1523,1545,1546.35,1555.2,808855,1257928861,26123,202719,25.06
25,LUPIN,EQ,04-Feb-15,1546.35,1558.9,1600,1550.05,1578.7,1579.65,1571.2,450821,708331677.8,13606,176310,39.11
26,LUPIN,EQ,05-Feb-15,1579.65,1580,1610,1559.15,1573.9,1578.3,1591.49,497609,791938602.8,18348,166651,33.49
27,LUPIN,EQ,06-Feb-15,1578.3,1578.1,1588,1552.8,1569.25,1567.7,1571.68,234610,368732019.7,9829,52782,22.5
28,LUPIN,EQ,09-Feb-15,1567.7,1560,1572.25,1540.25,1549.95,1546.15,1555.13,283211,440430320.9,13030,90700,32.03
29,LUPIN,EQ,10-Feb-15,1546.15,1546.95,1570.75,1542.05,1564.05,1562.95,1556.93,318035,495156747.3,13369,93318,29.34
30,LUPIN,EQ,11-Feb-15,1562.95,1568,1599.95,1556.4,1589,1590.5,1584.71,400919,635341362.3,13614,171764,42.84
31,LUPIN,EQ,12-Feb-15,1590.5,1600,1633.85,1586.1,1630,1617.7,1603.83,348159,558387264.3,13830,102387,29.41
32,LUPIN,EQ,13-Feb-15,1617.7,1683,1692.15,1644.15,1677,1679.45,1673.31,1764074,2951834470,71861,1128732,63.98
33,LUPIN,EQ,16-Feb-15,1679.45,1688,1689.8,1657.8,1664,1662.25,1666.54,830177,1383522088,36569,599640,72.23
34,LUPIN,EQ,18-Feb-15,1662.25,1684.95,1687.2,1664,1681.1,1681.85,1677.15,664131,1113849032,34644,418260,62.98
35,LUPIN,EQ,19-Feb-15,1681.85,1687,1705.5,1674.4,1681.55,1686.5,1688.77,905398,1529005858,44600,533116,58.88
36,LUPIN,EQ,20-Feb-15,1686.5,1688,1698.6,1676.05,1689,1691.35,1686.36,611265,1030813418,27227,430025,70.35
37,LUPIN,EQ,23-Feb-15,1691.35,1685,1703,1601.2,1653.8,1648.9,1642.09,2661139,4369828895,97293,1735466,65.22
38,LUPIN,EQ,24-Feb-15,1648.9,1650.1,1668,1624,1656,1661.8,1654.79,713170,1180149142,37459,343815,48.21
39,LUPIN,EQ,25-Feb-15,1661.8,1667,1670,1648.45,1669,1664.3,1661.65,1030353,1712086670,41060,759189,73.68
40,LUPIN,EQ,26-Feb-15,1664.3,1665,1716,1648,1715,1697.55,1691.39,4295665,7265646253,99335,3217926,74.91
41,LUPIN,EQ,27-Feb-15,1697.55,1700,1745.15,1700,1735,1737.5,1725.27,1319802,2277019302,79960,821335,62.23
42,LUPIN,EQ,28-Feb-15,1737.5,1747,1752,1718.1,1749,1746.95,1735.63,342601,594628051,12949,105477,30.79
