N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,SUNPHARMA,EQ,01-Jan-15,826.55,826.5,830,818.1,822.25,822.2,823.65,587479,483878028.4,11923,223142,37.98
1,SUNPHARMA,EQ,02-Jan-15,822.2,824,830.5,824,826.1,826.25,827.44,710310,587741492.5,32763,435429,61.3
2,SUNPHARMA,EQ,05-Jan-15,826.25,826.1,830.7,824.45,825,826.75,827.58,792287,655678891.2,22899,487052,61.47
3,SUNPHARMA,EQ,06-Jan-15,826.75,823,824.6,803.7,811,808.55,810.46,1709888,1385800600,41359,1234955,72.22
4,SUNPHARMA,EQ,07-Jan-15,808.55,809.1,815.2,800,810.85,809.8,805.48,1730518,1393905200,73474,1144978,66.16
5,SUNPHARMA,EQ,08-Jan-15,809.8,815,821,814.4,816.55,818.8,817.77,943536,771597094.3,37522,616182,65.31
6,SUNPHARMA,EQ,09-Jan-15,818.8,820,836,820,833,830.05,829.61,1766875,1465810250,59609,957154,54.17
7,SUNPHARMA,EQ,12-Jan-15,830.05,832.45,837.25,830.1,836,835.3,834.49,1188646,991910560.7,34480,761729,64.08
8,SUNPHARMA,EQ,13-Jan-15,835.3,837.05,843.4,826.15,833,833.1,836.85,838422,701634940.4,26556,424700,50.65
9,SUNPHARMA,EQ,14-Jan-15,833.1,831,837.75,817,820.2,820.65,825.49,996066,822244497.1,47808,610649,61.31
10,SUNPHARMA,EQ,15-Jan-15,820.65,826,833.9,819.4,824.75,825.9,824.52,2224116,1833838673,53527,1690703,76.02
11,SUNPHARMA,EQ,16-Jan-15,825.9,828.9,854.4,826.2,852.5,849.75,841.27,2005202,1686925788,101080,1217065,60.7
12,SUNPHARMA,EQ,19-Jan-15,849.75,855,866.15,853.1,863.05,863,861.84,1382755,1191710385,32604,779085,56.34
13,SUNPHARMA,EQ,20-Jan-15,863,865,874.5,854.5,873,872.3,867.51,2053198,1781176519,64715,1430602,69.68
14,SUNPHARMA,EQ,21-Jan-15,872.3,875,888,873,887,885.95,881.9,2358508,2079972154,69063,1504369,63.78
15,SUNPHARMA,EQ,22-Jan-15,885.95,885.3,927.35,885.3,918,920.05,915.83,4797782,4393966486,109232,2846098,59.32
16,SUNPHARMA,EQ,23-Jan-15,920.05,921.5,938.7,918,927.4,926.8,927.75,2835629,2630758584,76244,1702014,60.02
17,SUNPHARMA,EQ,27-Jan-15,926.8,939.9,939.95,901,911.2,914,912.34,2261868,2063597786,74915,1538289,68.01
18,SUNPHARMA,EQ,28-Jan-15,914,915,933.1,892,910,909.75,915.16,1939863,1775292641,56567,959643,49.47
19,SUNPHARMA,EQ,29-Jan-15,909.75,900,933,891,912.5,919.8,907.74,2668139,2421984280,66429,1772957,66.45
20,SUNPHARMA,EQ,30-Jan-15,919.8,923.5,927.8,910.5,919.85,917.75,919.27,1873464,1722225851,61988,1192875,63.67
21,SUNPHARMA,EQ,02-Feb-15,917.75,925,943.55,922,928,929.1,931.89,1750030,1630838545,55003,954090,54.52
22,SUNPHARMA,EQ,03-Feb-15,929.1,936,947.65,919.05,944,941.25,931.43,2275229,2119210847,70995,1472702,64.73
23,SUNPHARMA,EQ,04-Feb-15,941.25,947.5,965.95,946,960,958.95,959.07,2769365,2656001510,75984,1541403,55.66
24,SUNPHARMA,EQ,05-Feb-15,958.95,960,965.9,951,959.7,959.55,958.57,1850360,1773695623,53691,1172633,63.37
25,SUNPHARMA,EQ,06-Feb-15,959.55,958.75,962.9,920.25,931.05,926.85,938.56,3120503,2928790206,71660,2284475,73.21
26,SUNPHARMA,EQ,09-Feb-15,926.85,926.8,948.2,915.85,942,941.45,940.7,1350099,1270034332,44267,746876,55.32
27,SUNPHARMA,EQ,10-Feb-15,941.45,942,942,911,923,919.55,923.51,1515424,1399514047,47193,901410,59.48
28,SUNPHARMA,EQ,11-Feb-15,919.55,924.8,937,920.2,925,925.85,928.14,1046438,971245510.2,29873,528656,50.52
29,SUNPHARMA,EQ,12-Feb-15,925.85,929.65,932.2,919,922.5,923.6,923.46,778562,718973213,27144,392615,50.43
30,SUNPHARMA,EQ,13-Feb-15,923.6,928,952,928,931.8,940.55,943,2046667,1930002650,49816,1111871,54.33
31,SUNPHARMA,EQ,16-Feb-15,940.55,918,930.9,907.3,913.9,914.75,917.29,2869370,2632047295,88639,1480395,51.59
32,SUNPHARMA,EQ,18-Feb-15,914.75,919.9,927.5,911.75,917.5,917.8,919.47,1309654,1204193119,55522,720855,55.04
33,SUNPHARMA,EQ,19-Feb-15,917.8,922.7,926.8,909.55,909.8,916.7,918.68,1190354,1093558582,44317,551948,46.37
34,SUNPHARMA,EQ,20-Feb-15,916.7,914.8,921.6,910,911,913.2,914.31,1146633,1048378814,29531,631786,55.1
35,SUNPHARMA,EQ,23-Feb-15,913.2,914,924,904.25,910,908.65,916.01,2440626,2235628375,52004,1806985,74.04
36,SUNPHARMA,EQ,24-Feb-15,908.65,907,913.9,905,909.05,910.45,909.84,1469026,1336584075,40806,969462,65.99
37,SUNPHARMA,EQ,25-Feb-15,910.45,913.5,914.65,886.4,889.5,890.75,900.72,1407691,1267928715,54142,903816,64.21
38,SUNPHARMA,EQ,26-Feb-15,890.75,890.1,894.25,860.2,869.3,865.7,870.69,2614022,2275999967,110427,1697436,64.94
39,SUNPHARMA,EQ,27-Feb-15,865.7,870.15,883.9,868.55,877.7,878.9,875.81,2160310,1892011846,68676,1408778,65.21
40,SUNPHARMA,EQ,28-Feb-15,878.9,884.45,918.4,873.5,915.2,911,892.54,1118395,998211244,23369,325081,29.07
41,SUNPHARMA,EQ,02-Mar-15,911,912.1,932,909.4,930.1,925.2,918.15,2019863,1854537666,59613,1267257,62.74
42,SUNPHARMA,EQ,03-Mar-15,925.2,937.45,951.4,933.1,941.85,943.05,943.08,2114707,1994339670,71306,1071861,50.69
43,SUNPHARMA,EQ,04-Mar-15,943.05,946.9,1035.95,937.8,1005,1006.3,1000.47,7567230,7570757771,176188,2723502,35.99
44,SUNPHARMA,EQ,05-Mar-15,1006.3,1018,1045.95,1005.5,1041,1038.75,1025.64,3792463,3889702248,79408,1668841,44
45,SUNPHARMA,EQ,09-Mar-15,1038.75,1024.35,1049.9,1008,1041.9,1041,1036.34,3154190,3268828712,83537,1027082,32.56
46,SUNPHARMA,EQ,10-Mar-15,1041,1046,1055.5,1017.75,1025.35,1024.65,1036.42,2094814,2171109283,66487,1092951,52.17
47,SUNPHARMA,EQ,11-Mar-15,1024.65,1029.4,1035.4,1007.05,1011.85,1009.85,1012.56,1845619,1868792941,40694,959237,51.97
48,SUNPHARMA,EQ,12-Mar-15,1009.85,1012.65,1039.8,1010,1038,1036.15,1022.04,1990646,2034510022,54477,1028881,51.69
49,SUNPHARMA,EQ,13-Mar-15,1036.15,1044.7,1044.7,1006.55,1017.9,1011.6,1014.95,1499576,1521995429,62235,770578,51.39
50,SUNPHARMA,EQ,16-Mar-15,1011.6,1014.1,1032.9,1010.15,1027,1029.85,1025.22,1445672,1482129483,63267,812645,56.21
51,SUNPHARMA,EQ,17-Mar-15,1029.85,1033,1051,1026.15,1036,1041.9,1041.77,1818956,1894934787,63837,737458,40.54
52,SUNPHARMA,EQ,18-Mar-15,1041.9,1043.4,1048,1031,1042.05,1044.5,1042.86,1489193,1553019787,47603,847185,56.89
53,SUNPHARMA,EQ,19-Mar-15,1044.5,1050,1075,1036.2,1047.65,1047.75,1061.54,2661474,2825250132,70435,1329853,49.97
54,SUNPHARMA,EQ,20-Mar-15,1047.75,1050,1074.5,1021.3,1027.4,1026.65,1042.75,2371025,2472387424,74438,1021568,43.09
55,SUNPHARMA,EQ,23-Mar-15,1026.65,1036.9,1045.95,1013.4,1026.85,1024.25,1029.76,1972135,2030829164,42665,961358,48.75
56,SUNPHARMA,EQ,24-Mar-15,1024.25,1034,1049.8,1030,1039.9,1037.15,1040.11,2573597,2676835141,62303,1561004,60.65
57,SUNPHARMA,EQ,25-Mar-15,1037.15,1058,1067.8,1042.1,1055.05,1052.05,1054.81,4242685,4475224862,94566,2470672,58.23
58,SUNPHARMA,EQ,26-Mar-15,1052.05,1052.8,1053,1020,1039,1027.7,1036.31,2974909,3082925860,75544,1990181,66.9
59,SUNPHARMA,EQ,27-Mar-15,1027.7,1036.9,1041.55,1002.1,1013,1011.2,1013.27,1999967,2026500196,83101,1010322,50.52
60,SUNPHARMA,EQ,30-Mar-15,1011.2,1021.15,1025.75,1009,1009.45,1010.8,1013.56,1613058,1634929957,40108,957415,59.35
61,SUNPHARMA,EQ,31-Mar-15,1010.8,1015,1033.25,1010.35,1021,1023.9,1022.14,1939047,1981973555,71460,1099185,56.69
62,SUNPHARMA,EQ,01-Apr-15,1023.9,1023.9,1094,1018.95,1082,1081.15,1067.36,4104961,4381466563,85943,1894799,46.16
